Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
C505531,22464,HANGING METAL HEART LANTERN,-1,2010-04-22 17:40:00,1.65,16176.0,United Kingdom
498360,35816B,"ACRYLIC JEWEL ANGEL,BLUE",1,2010-02-18 13:29:00,1.25,12748.0,United Kingdom
522309,16156L,"WRAP, CAROUSEL",25,2010-09-13 15:12:00,0.42,15521.0,United Kingdom
524446,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1,2010-09-29 11:19:00,3.75,14049.0,United Kingdom
505236,85049C,ROMANTIC PINKS RIBBONS ,12,2010-04-21 10:58:00,1.25,12391.0,Cyprus
505766,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2010-04-26 10:26:00,0.65,14743.0,United Kingdom
513732,21787,RAIN PONCHO WITH RED SPOTS,24,2010-06-28 12:04:00,0.85,15791.0,United Kingdom
526267,22710,WRAP I LOVE LONDON ,25,2010-10-11 10:56:00,0.42,12678.0,France
500879,85196,EASTER BUNNIES ON A STICK,24,2010-03-10 14:24:00,0.55,15093.0,United Kingdom
490124,82494L,WOODEN FRAME ANTIQUE WHITE ,2,2009-12-03 18:08:00,2.95,16791.0,United Kingdom
494506,21935,SUKI  SHOULDER BAG,10,2010-01-14 19:36:00,1.45,17850.0,United Kingdom
513658,22202,MILK PAN PINK RETROSPOT,24,2010-06-28 10:18:00,3.75,17389.0,United Kingdom
513279,15036,ASSORTED COLOURS SILK FAN,24,2010-06-23 13:19:00,0.75,16180.0,United Kingdom
506082,21499,BLUE SPOTS  WRAP,25,2010-04-27 11:58:00,0.42,13178.0,United Kingdom
525425,22751,FELTCRAFT PRINCESS OLIVIA DOLL,6,2010-10-05 13:01:00,3.75,14991.0,United Kingdom
521800,21790,VINTAGE SNAP CARDS,12,2010-09-08 14:17:00,0.85,18226.0,United Kingdom
532470,85049D,BRIGHT BLUES RIBBONS ,12,2010-11-12 11:41:00,1.25,12647.0,Germany
518553,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2010-08-10 08:49:00,0.65,16279.0,United Kingdom
528134,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,12,2010-10-20 15:09:00,0.85,15647.0,United Kingdom
501870,22219,LOVEBIRD HANGING DECORATION WHITE ,12,2010-03-21 12:20:00,0.72,17448.0,United Kingdom
508780,22556,PLASTERS IN TIN CIRCUS PARADE ,4,2010-05-18 12:24:00,1.65,15518.0,United Kingdom
516430,22383,LUNCH BAG SUKI  DESIGN ,100,2010-07-20 11:47:00,1.45,17511.0,United Kingdom
520537,22078,RIBBON REEL LACE DESIGN ,1,2010-08-26 15:47:00,2.1,17576.0,United Kingdom
521130,21907,I'M ON HOLIDAY METAL SIGN,2,2010-09-02 12:44:00,2.1,15856.0,United Kingdom
533142,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2010-11-16 13:22:00,1.65,17689.0,United Kingdom
511123,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2010-06-07 10:56:00,2.1,17673.0,United Kingdom
527912,47591D,PINK FAIRY CAKE CHILDRENS APRON,2,2010-10-19 13:00:00,1.95,16919.0,United Kingdom
526485,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,2010-10-12 08:08:00,2.95,12649.0,Germany
532445,90178B,PURPLE CHUNKY GLASS+BEAD NECKLACE,2,2010-11-12 11:31:00,11.95,17772.0,United Kingdom
